,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
244,0.126675,0.0,0.320065,4,0.9795918367346939,Transformer
245,0.126385,0.0,0.318515,0,1.0,Transformer
246,0.120145,0.0,0.318155,1,1.0,Transformer
247,0.13329,0.0,0.336455,2,1.0,Transformer
248,0.112545,0.0,0.3101,3,1.0,Transformer
249,0.10075,0.0,0.28881,4,1.0,Transformer
0,1.0,1.0,1.0,0,0.0,Relational Abstractor
1,1.0,1.0,1.0,1,0.0,Relational Abstractor
2,1.0,1.0,1.0,2,0.0,Relational Abstractor
3,1.0,1.0,1.0,3,0.0,Relational Abstractor
4,1.0,1.0,1.0,4,0.0,Relational Abstractor
5,1.0,1.0,1.0,0,0.02040816326530612,Relational Abstractor
6,1.0,1.0,1.0,1,0.02040816326530612,Relational Abstractor
7,1.0,1.0,1.0,2,0.02040816326530612,Relational Abstractor
8,1.0,1.0,1.0,3,0.02040816326530612,Relational Abstractor
9,1.0,1.0,1.0,4,0.02040816326530612,Relational Abstractor
10,1.0,1.0,1.0,0,0.04081632653061224,Relational Abstractor
11,1.0,1.0,1.0,1,0.04081632653061224,Relational Abstractor
12,1.0,1.0,1.0,2,0.04081632653061224,Relational Abstractor
13,1.0,1.0,1.0,3,0.04081632653061224,Relational Abstractor
14,1.0,1.0,1.0,4,0.04081632653061224,Relational Abstractor
15,1.0,1.0,1.0,0,0.061224489795918366,Relational Abstractor
16,1.0,1.0,1.0,1,0.061224489795918366,Relational Abstractor
17,1.0,1.0,1.0,2,0.061224489795918366,Relational Abstractor
18,1.0,1.0,1.0,3,0.061224489795918366,Relational Abstractor
19,0.99994,0.9998,0.99998,4,0.061224489795918366,Relational Abstractor
20,0.999845,0.99935,0.999935,0,0.08163265306122448,Relational Abstractor
21,1.0,1.0,1.0,1,0.08163265306122448,Relational Abstractor
22,0.99989,0.99985,0.999985,2,0.08163265306122448,Relational Abstractor
23,0.99985,0.99965,0.999965,3,0.08163265306122448,Relational Abstractor
24,0.999905,0.99975,0.999975,4,0.08163265306122448,Relational Abstractor
25,0.99596,0.9832,0.99831,0,0.1020408163265306,Relational Abstractor
26,0.999965,0.99995,0.999995,1,0.1020408163265306,Relational Abstractor
27,0.999105,0.9967,0.999655,2,0.1020408163265306,Relational Abstractor
28,0.99934,0.99775,0.99977,3,0.1020408163265306,Relational Abstractor
29,0.99651,0.9933,0.999325,4,0.1020408163265306,Relational Abstractor
30,0.992385,0.97025,0.995625,0,0.12244897959183673,Relational Abstractor
31,0.999585,0.99895,0.999895,1,0.12244897959183673,Relational Abstractor
32,0.999675,0.99895,0.99989,2,0.12244897959183673,Relational Abstractor
33,0.998355,0.99445,0.999435,3,0.12244897959183673,Relational Abstractor
34,0.995305,0.9913,0.9991,4,0.12244897959183673,Relational Abstractor
35,0.92648,0.8683,0.985765,0,0.14285714285714285,Relational Abstractor
36,0.99667,0.9922,0.999205,1,0.14285714285714285,Relational Abstractor
37,0.99331,0.9695,0.99645,2,0.14285714285714285,Relational Abstractor
38,0.987455,0.9643,0.996315,3,0.14285714285714285,Relational Abstractor
39,0.99765,0.9898,0.998965,4,0.14285714285714285,Relational Abstractor
40,0.963385,0.88725,0.98412,0,0.16326530612244897,Relational Abstractor
41,0.98846,0.95155,0.994895,1,0.16326530612244897,Relational Abstractor
42,0.98981,0.9616,0.996005,2,0.16326530612244897,Relational Abstractor
43,0.93106,0.8601,0.98405,3,0.16326530612244897,Relational Abstractor
44,0.99391,0.97545,0.9975,4,0.16326530612244897,Relational Abstractor
45,0.97744,0.92655,0.992075,0,0.18367346938775508,Relational Abstractor
46,0.978165,0.9436,0.99399,1,0.18367346938775508,Relational Abstractor
47,0.80324,0.61835,0.941305,2,0.18367346938775508,Relational Abstractor
48,0.93018,0.75005,0.96789,3,0.18367346938775508,Relational Abstractor
49,0.833055,0.69655,0.96183,4,0.18367346938775508,Relational Abstractor
50,0.98126,0.9424,0.993675,0,0.2040816326530612,Relational Abstractor
51,0.890405,0.7557,0.968295,1,0.2040816326530612,Relational Abstractor
52,0.78873,0.56595,0.932825,2,0.2040816326530612,Relational Abstractor
53,0.826885,0.6182,0.943535,3,0.2040816326530612,Relational Abstractor
54,0.78069,0.52265,0.91927,4,0.2040816326530612,Relational Abstractor
55,0.830945,0.60575,0.924375,0,0.22448979591836732,Relational Abstractor
56,0.848685,0.6375,0.937085,1,0.22448979591836732,Relational Abstractor
57,0.780515,0.5374,0.93828,2,0.22448979591836732,Relational Abstractor
58,0.705115,0.4398,0.862735,3,0.22448979591836732,Relational Abstractor
59,0.945,0.81195,0.976025,4,0.22448979591836732,Relational Abstractor
60,0.728615,0.45735,0.894295,0,0.24489795918367346,Relational Abstractor
61,0.89281,0.69625,0.9521,1,0.24489795918367346,Relational Abstractor
62,0.78116,0.47405,0.896695,2,0.24489795918367346,Relational Abstractor
63,0.708675,0.48845,0.920165,3,0.24489795918367346,Relational Abstractor
64,0.734465,0.4226,0.877845,4,0.24489795918367346,Relational Abstractor
65,0.77635,0.53235,0.903585,0,0.26530612244897955,Relational Abstractor
66,0.60238,0.3194,0.863255,1,0.26530612244897955,Relational Abstractor
67,0.776635,0.4063,0.870795,2,0.26530612244897955,Relational Abstractor
68,0.649895,0.34275,0.86536,3,0.26530612244897955,Relational Abstractor
69,0.669425,0.39555,0.89545,4,0.26530612244897955,Relational Abstractor
70,0.766375,0.44305,0.906705,0,0.2857142857142857,Relational Abstractor
71,0.636265,0.342,0.85153,1,0.2857142857142857,Relational Abstractor
72,0.568815,0.18905,0.807235,2,0.2857142857142857,Relational Abstractor
73,0.71326,0.3931,0.875355,3,0.2857142857142857,Relational Abstractor
74,0.49878,0.149,0.782315,4,0.2857142857142857,Relational Abstractor
75,0.64321,0.25065,0.82962,0,0.3061224489795918,Relational Abstractor
76,0.704545,0.34035,0.86077,1,0.3061224489795918,Relational Abstractor
77,0.54361,0.2216,0.801585,2,0.3061224489795918,Relational Abstractor
78,0.755175,0.4029,0.88655,3,0.3061224489795918,Relational Abstractor
79,0.55788,0.1551,0.77186,4,0.3061224489795918,Relational Abstractor
80,0.462045,0.16325,0.77431,0,0.32653061224489793,Relational Abstractor
81,0.50131,0.14555,0.73198,1,0.32653061224489793,Relational Abstractor
82,0.53686,0.15825,0.775475,2,0.32653061224489793,Relational Abstractor
83,0.586225,0.2397,0.779225,3,0.32653061224489793,Relational Abstractor
84,0.51113,0.138,0.73536,4,0.32653061224489793,Relational Abstractor
85,0.47428,0.14685,0.77869,0,0.3469387755102041,Relational Abstractor
86,0.740235,0.38115,0.889685,1,0.3469387755102041,Relational Abstractor
87,0.532135,0.14525,0.78015,2,0.3469387755102041,Relational Abstractor
88,0.48374,0.10885,0.711765,3,0.3469387755102041,Relational Abstractor
89,0.502575,0.16125,0.762855,4,0.3469387755102041,Relational Abstractor
90,0.548075,0.1487,0.753015,0,0.36734693877551017,Relational Abstractor
91,0.533305,0.1315,0.76976,1,0.36734693877551017,Relational Abstractor
92,0.3928,0.0393,0.58883,2,0.36734693877551017,Relational Abstractor
93,0.44072,0.076,0.684835,3,0.36734693877551017,Relational Abstractor
94,0.40798,0.04655,0.632945,4,0.36734693877551017,Relational Abstractor
95,0.325955,0.0325,0.601275,0,0.3877551020408163,Relational Abstractor
96,0.39263,0.07615,0.727495,1,0.3877551020408163,Relational Abstractor
97,0.48514,0.1052,0.70346,2,0.3877551020408163,Relational Abstractor
98,0.40833,0.04455,0.649125,3,0.3877551020408163,Relational Abstractor
99,0.363835,0.02775,0.573275,4,0.3877551020408163,Relational Abstractor
100,0.413685,0.04085,0.64785,0,0.4081632653061224,Relational Abstractor
101,0.3853,0.0228,0.591435,1,0.4081632653061224,Relational Abstractor
102,0.486775,0.09495,0.70545,2,0.4081632653061224,Relational Abstractor
103,0.428435,0.06605,0.664395,3,0.4081632653061224,Relational Abstractor
104,0.41518,0.0653,0.643605,4,0.4081632653061224,Relational Abstractor
105,0.327215,0.0305,0.59068,0,0.42857142857142855,Relational Abstractor
106,0.36061,0.0355,0.609995,1,0.42857142857142855,Relational Abstractor
107,0.36987,0.02325,0.58323,2,0.42857142857142855,Relational Abstractor
108,0.417895,0.06485,0.675675,3,0.42857142857142855,Relational Abstractor
109,0.35737,0.0196,0.55172,4,0.42857142857142855,Relational Abstractor
110,0.573135,0.1529,0.79822,0,0.44897959183673464,Relational Abstractor
111,0.401315,0.04065,0.636905,1,0.44897959183673464,Relational Abstractor
112,0.369615,0.02145,0.57711,2,0.44897959183673464,Relational Abstractor
113,0.382555,0.04115,0.64322,3,0.44897959183673464,Relational Abstractor
114,0.334635,0.01965,0.57362,4,0.44897959183673464,Relational Abstractor
115,0.443685,0.0513,0.637355,0,0.4693877551020408,Relational Abstractor
116,0.33227,0.0108,0.54348,1,0.4693877551020408,Relational Abstractor
