,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
178,0.15483,5e-05,0.35006,3,0.7142857142857142,Transformer
179,0.1204,0.0,0.310235,4,0.7142857142857142,Transformer
180,0.15363,0.0,0.347195,0,0.7346938775510203,Transformer
181,0.12167,0.0,0.30208,1,0.7346938775510203,Transformer
182,0.143565,0.0,0.33992,2,0.7346938775510203,Transformer
183,0.133975,0.0,0.33665,3,0.7346938775510203,Transformer
184,0.131655,0.0,0.34021,4,0.7346938775510203,Transformer
185,0.132005,0.0,0.328495,0,0.7551020408163265,Transformer
186,0.13494,0.0,0.32801,1,0.7551020408163265,Transformer
187,0.17272,0.0,0.38525,2,0.7551020408163265,Transformer
188,0.147365,0.0,0.346905,3,0.7551020408163265,Transformer
189,0.140365,0.0,0.33171,4,0.7551020408163265,Transformer
190,0.132065,0.0,0.324425,0,0.7755102040816326,Transformer
191,0.135285,0.0,0.33208,1,0.7755102040816326,Transformer
192,0.13119,0.0,0.32306,2,0.7755102040816326,Transformer
193,0.148185,5e-05,0.34802,3,0.7755102040816326,Transformer
194,0.110735,0.0,0.287535,4,0.7755102040816326,Transformer
195,0.10448,0.0,0.294335,0,0.7959183673469387,Transformer
196,0.123825,0.0,0.317885,1,0.7959183673469387,Transformer
197,0.14887,5e-05,0.361425,2,0.7959183673469387,Transformer
198,0.127265,0.0,0.322155,3,0.7959183673469387,Transformer
199,0.132435,0.0,0.33307,4,0.7959183673469387,Transformer
200,0.122155,0.0,0.318415,0,0.8163265306122448,Transformer
201,0.10674,0.0,0.29287,1,0.8163265306122448,Transformer
202,0.13217,5e-05,0.325845,2,0.8163265306122448,Transformer
203,0.13151,0.0,0.33874,3,0.8163265306122448,Transformer
204,0.12532,0.0,0.31673,4,0.8163265306122448,Transformer
205,0.138635,0.0,0.339555,0,0.836734693877551,Transformer
206,0.11526,0.0,0.29964,1,0.836734693877551,Transformer
207,0.122435,0.0,0.311925,2,0.836734693877551,Transformer
208,0.160795,0.0,0.363605,3,0.836734693877551,Transformer
209,0.12789,0.0,0.32492,4,0.836734693877551,Transformer
210,0.123195,0.0,0.321655,0,0.8571428571428571,Transformer
211,0.11741,0.0,0.31033,1,0.8571428571428571,Transformer
212,0.116635,0.0,0.303525,2,0.8571428571428571,Transformer
213,0.150875,0.0,0.34997,3,0.8571428571428571,Transformer
214,0.111525,0.0,0.30055,4,0.8571428571428571,Transformer
215,0.108975,0.0,0.2993,0,0.8775510204081632,Transformer
216,0.14559,0.0,0.35159,1,0.8775510204081632,Transformer
217,0.13883,0.0,0.33359,2,0.8775510204081632,Transformer
218,0.108245,0.0,0.29616,3,0.8775510204081632,Transformer
219,0.122925,0.0,0.31327,4,0.8775510204081632,Transformer
220,0.16451,0.0,0.369605,0,0.8979591836734693,Transformer
221,0.130605,0.0,0.34224,1,0.8979591836734693,Transformer
222,0.157425,0.0,0.36543,2,0.8979591836734693,Transformer
223,0.131125,0.0,0.325365,3,0.8979591836734693,Transformer
224,0.126615,0.0,0.321265,4,0.8979591836734693,Transformer
225,0.12363,0.0,0.323955,0,0.9183673469387754,Transformer
226,0.120955,0.0,0.315195,1,0.9183673469387754,Transformer
227,0.12729,0.0,0.320685,2,0.9183673469387754,Transformer
228,0.13884,0.0,0.34169,3,0.9183673469387754,Transformer
229,0.15097,0.0,0.35557,4,0.9183673469387754,Transformer
230,0.121665,0.0,0.318535,0,0.9387755102040816,Transformer
231,0.128625,0.0,0.32131,1,0.9387755102040816,Transformer
232,0.110895,0.0,0.3069,2,0.9387755102040816,Transformer
233,0.14871,0.0,0.343995,3,0.9387755102040816,Transformer
234,0.10824,0.0,0.30478,4,0.9387755102040816,Transformer
235,0.0983,0.0,0.285405,0,0.9591836734693877,Transformer
236,0.115665,0.0,0.31256,1,0.9591836734693877,Transformer
237,0.136225,0.0,0.326855,2,0.9591836734693877,Transformer
238,0.11251,0.0,0.30914,3,0.9591836734693877,Transformer
239,0.116145,0.0,0.308675,4,0.9591836734693877,Transformer
240,0.108585,0.0,0.298455,0,0.9795918367346939,Transformer
241,0.125565,0.0,0.325185,1,0.9795918367346939,Transformer
242,0.115745,0.0,0.31091,2,0.9795918367346939,Transformer
243,0.13628,5e-05,0.33743,3,0.9795918367346939,Transformer
244,0.13099,0.0,0.322855,4,0.9795918367346939,Transformer
245,0.12636,0.0,0.32501,0,1.0,Transformer
246,0.108585,0.0,0.298255,1,1.0,Transformer
247,0.105495,0.0,0.29545,2,1.0,Transformer
248,0.11477,0.0,0.312375,3,1.0,Transformer
249,0.14011,0.0,0.33641,4,1.0,Transformer
0,1.0,1.0,1.0,0,0.0,Relational Abstractor
1,1.0,1.0,1.0,1,0.0,Relational Abstractor
2,1.0,1.0,1.0,2,0.0,Relational Abstractor
3,1.0,1.0,1.0,3,0.0,Relational Abstractor
4,1.0,1.0,1.0,4,0.0,Relational Abstractor
5,1.0,1.0,1.0,0,0.02040816326530612,Relational Abstractor
6,1.0,1.0,1.0,1,0.02040816326530612,Relational Abstractor
7,1.0,1.0,1.0,2,0.02040816326530612,Relational Abstractor
8,1.0,1.0,1.0,3,0.02040816326530612,Relational Abstractor
9,1.0,1.0,1.0,4,0.02040816326530612,Relational Abstractor
10,1.0,1.0,1.0,0,0.04081632653061224,Relational Abstractor
11,1.0,1.0,1.0,1,0.04081632653061224,Relational Abstractor
12,1.0,1.0,1.0,2,0.04081632653061224,Relational Abstractor
13,1.0,1.0,1.0,3,0.04081632653061224,Relational Abstractor
14,1.0,1.0,1.0,4,0.04081632653061224,Relational Abstractor
15,1.0,1.0,1.0,0,0.061224489795918366,Relational Abstractor
16,1.0,1.0,1.0,1,0.061224489795918366,Relational Abstractor
17,1.0,1.0,1.0,2,0.061224489795918366,Relational Abstractor
18,1.0,1.0,1.0,3,0.061224489795918366,Relational Abstractor
19,1.0,1.0,1.0,4,0.061224489795918366,Relational Abstractor
20,0.99999,0.99995,0.999995,0,0.08163265306122448,Relational Abstractor
21,1.0,1.0,1.0,1,0.08163265306122448,Relational Abstractor
22,0.999995,0.99995,0.999995,2,0.08163265306122448,Relational Abstractor
23,1.0,1.0,1.0,3,0.08163265306122448,Relational Abstractor
24,0.999805,0.99945,0.999945,4,0.08163265306122448,Relational Abstractor
25,0.999675,0.99895,0.999895,0,0.1020408163265306,Relational Abstractor
26,0.999975,0.99995,0.999995,1,0.1020408163265306,Relational Abstractor
27,0.999945,0.9998,0.99998,2,0.1020408163265306,Relational Abstractor
28,1.0,1.0,1.0,3,0.1020408163265306,Relational Abstractor
29,0.999815,0.9994,0.99994,4,0.1020408163265306,Relational Abstractor
30,0.9987,0.997,0.999695,0,0.12244897959183673,Relational Abstractor
31,0.99992,0.9997,0.99997,1,0.12244897959183673,Relational Abstractor
32,0.996095,0.98735,0.998705,2,0.12244897959183673,Relational Abstractor
33,0.997655,0.99485,0.99945,3,0.12244897959183673,Relational Abstractor
34,0.999845,0.9996,0.99996,4,0.12244897959183673,Relational Abstractor
35,0.96337,0.88495,0.987725,0,0.14285714285714285,Relational Abstractor
36,0.99073,0.9655,0.996375,1,0.14285714285714285,Relational Abstractor
37,0.999685,0.9988,0.99988,2,0.14285714285714285,Relational Abstractor
38,0.997325,0.9903,0.99903,3,0.14285714285714285,Relational Abstractor
39,0.96791,0.93945,0.993525,4,0.14285714285714285,Relational Abstractor
40,0.967175,0.90855,0.99012,0,0.16326530612244897,Relational Abstractor
41,0.905465,0.7367,0.959385,1,0.16326530612244897,Relational Abstractor
42,0.99663,0.98445,0.998425,2,0.16326530612244897,Relational Abstractor
43,0.96544,0.9452,0.99441,3,0.16326530612244897,Relational Abstractor
44,0.9918,0.96805,0.99641,4,0.16326530612244897,Relational Abstractor
45,0.864885,0.72655,0.968285,0,0.18367346938775508,Relational Abstractor
46,0.81182,0.63465,0.936805,1,0.18367346938775508,Relational Abstractor
47,0.87927,0.69355,0.94525,2,0.18367346938775508,Relational Abstractor
48,0.916905,0.8252,0.97725,3,0.18367346938775508,Relational Abstractor
49,0.904015,0.81805,0.980465,4,0.18367346938775508,Relational Abstractor
50,0.90579,0.7444,0.963845,0,0.2040816326530612,Relational Abstractor
51,0.955075,0.82825,0.978505,1,0.2040816326530612,Relational Abstractor
52,0.91532,0.8083,0.97574,2,0.2040816326530612,Relational Abstractor
53,0.82175,0.63715,0.95455,3,0.2040816326530612,Relational Abstractor
54,0.98209,0.9234,0.99119,4,0.2040816326530612,Relational Abstractor
55,0.74151,0.5516,0.91867,0,0.22448979591836732,Relational Abstractor
56,0.555165,0.2619,0.842485,1,0.22448979591836732,Relational Abstractor
57,0.78217,0.53665,0.92231,2,0.22448979591836732,Relational Abstractor
58,0.874485,0.71735,0.951215,3,0.22448979591836732,Relational Abstractor
59,0.963355,0.8705,0.981765,4,0.22448979591836732,Relational Abstractor
60,0.702775,0.37685,0.85986,0,0.24489795918367346,Relational Abstractor
61,0.88488,0.7215,0.965335,1,0.24489795918367346,Relational Abstractor
62,0.78221,0.5078,0.910265,2,0.24489795918367346,Relational Abstractor
63,0.678715,0.4051,0.87329,3,0.24489795918367346,Relational Abstractor
64,0.764005,0.5868,0.924575,4,0.24489795918367346,Relational Abstractor
65,0.887395,0.75545,0.96908,0,0.26530612244897955,Relational Abstractor
66,0.53908,0.1441,0.73915,1,0.26530612244897955,Relational Abstractor
67,0.79599,0.5215,0.89993,2,0.26530612244897955,Relational Abstractor
68,0.744125,0.4341,0.894065,3,0.26530612244897955,Relational Abstractor
69,0.727255,0.4992,0.89026,4,0.26530612244897955,Relational Abstractor
70,0.627705,0.28435,0.844305,0,0.2857142857142857,Relational Abstractor
71,0.737615,0.3879,0.886605,1,0.2857142857142857,Relational Abstractor
72,0.642485,0.30945,0.83296,2,0.2857142857142857,Relational Abstractor
73,0.538295,0.19365,0.81979,3,0.2857142857142857,Relational Abstractor
74,0.63254,0.24995,0.819645,4,0.2857142857142857,Relational Abstractor
75,0.647565,0.28245,0.83634,0,0.3061224489795918,Relational Abstractor
76,0.716735,0.4105,0.87529,1,0.3061224489795918,Relational Abstractor
77,0.59017,0.23945,0.83235,2,0.3061224489795918,Relational Abstractor
78,0.725475,0.46565,0.91697,3,0.3061224489795918,Relational Abstractor
79,0.713035,0.3915,0.88881,4,0.3061224489795918,Relational Abstractor
80,0.514015,0.11625,0.747325,0,0.32653061224489793,Relational Abstractor
81,0.678125,0.29425,0.864355,1,0.32653061224489793,Relational Abstractor
82,0.591115,0.20815,0.796315,2,0.32653061224489793,Relational Abstractor
83,0.56755,0.18145,0.756385,3,0.32653061224489793,Relational Abstractor
84,0.55618,0.232,0.82749,4,0.32653061224489793,Relational Abstractor
85,0.38041,0.0585,0.644985,0,0.3469387755102041,Relational Abstractor
86,0.548875,0.1309,0.75144,1,0.3469387755102041,Relational Abstractor
87,0.45095,0.1158,0.71324,2,0.3469387755102041,Relational Abstractor
88,0.563465,0.1753,0.7854,3,0.3469387755102041,Relational Abstractor
89,0.53037,0.14055,0.758395,4,0.3469387755102041,Relational Abstractor
90,0.514875,0.15245,0.763925,0,0.36734693877551017,Relational Abstractor
91,0.580005,0.1896,0.77091,1,0.36734693877551017,Relational Abstractor
92,0.36749,0.03075,0.621355,2,0.36734693877551017,Relational Abstractor
93,0.46474,0.123,0.71862,3,0.36734693877551017,Relational Abstractor
94,0.45575,0.0841,0.72799,4,0.36734693877551017,Relational Abstractor
95,0.48231,0.12435,0.753995,0,0.3877551020408163,Relational Abstractor
96,0.449555,0.13595,0.747745,1,0.3877551020408163,Relational Abstractor
97,0.386285,0.0356,0.60196,2,0.3877551020408163,Relational Abstractor
98,0.41957,0.04095,0.64373,3,0.3877551020408163,Relational Abstractor
99,0.43128,0.0922,0.70357,4,0.3877551020408163,Relational Abstractor
100,0.410145,0.04285,0.6465,0,0.4081632653061224,Relational Abstractor
101,0.596075,0.2591,0.80945,1,0.4081632653061224,Relational Abstractor
102,0.41753,0.06865,0.6573,2,0.4081632653061224,Relational Abstractor
103,0.506525,0.10915,0.701835,3,0.4081632653061224,Relational Abstractor
104,0.46653,0.056,0.657585,4,0.4081632653061224,Relational Abstractor
105,0.322695,0.0178,0.56515,0,0.42857142857142855,Relational Abstractor
