,loss,binary_accuracy,group,train_size,trial
8,0.7707635164260864,0.4858357012271881,predinet,5,8
9,0.8265202045440674,0.4652974605560303,predinet,5,9
10,0.7634605765342712,0.5106232166290283,predinet,100,0
11,0.779812753200531,0.506373941898346,predinet,100,1
12,0.7559052109718323,0.5205382704734802,predinet,100,2
13,0.75395268201828,0.5269121527671814,predinet,100,3
14,0.7546878457069397,0.49362605810165405,predinet,100,4
15,1.0096513032913208,0.4752124547958374,predinet,100,5
16,0.7204545140266418,0.5332860946655273,predinet,100,6
17,0.7425280213356018,0.5283285975456238,predinet,100,7
18,0.7404493093490601,0.5325779318809509,predinet,100,8
19,0.7628874778747559,0.5382436513900757,predinet,100,9
20,0.7746174931526184,0.4992917776107788,predinet,200,0
21,0.7222451567649841,0.5134561061859131,predinet,200,1
22,0.7638567090034485,0.4893767833709717,predinet,200,2
23,0.7506147027015686,0.5389518141746521,predinet,200,3
24,0.733642041683197,0.5276203751564026,predinet,200,4
25,0.7437949776649475,0.5382436513900757,predinet,200,5
26,0.7694107294082642,0.5113314390182495,predinet,200,6
27,0.7751495838165283,0.5092067718505859,predinet,200,7
28,0.741091787815094,0.5254957675933838,predinet,200,8
29,0.745987594127655,0.5212464332580566,predinet,200,9
30,0.6887667179107666,0.580736517906189,predinet,500,0
31,0.698021411895752,0.5722379684448242,predinet,500,1
32,0.7052479386329651,0.5410764813423157,predinet,500,2
33,0.7168309092521667,0.5212464332580566,predinet,500,3
34,0.732742965221405,0.5368272066116333,predinet,500,4
35,0.7131474614143372,0.5254957675933838,predinet,500,5
36,0.6686159372329712,0.6055240631103516,predinet,500,6
37,0.6933808922767639,0.5842776298522949,predinet,500,7
38,0.7275435328483582,0.522662878036499,predinet,500,8
39,0.6998211741447449,0.5474504232406616,predinet,500,9
40,0.6914520859718323,0.5729461908340454,predinet,1000,0
41,0.6854430437088013,0.5849858522415161,predinet,1000,1
42,0.6898068189620972,0.5864022374153137,predinet,1000,2
43,0.6388252973556519,0.6253541111946106,predinet,1000,3
44,0.6775017976760864,0.5856940746307373,predinet,1000,4
45,0.6811153888702393,0.5757790207862854,predinet,1000,5
46,0.6352903246879578,0.6444759368896484,predinet,1000,6
47,0.6808091998100281,0.5821529626846313,predinet,1000,7
48,0.6228307485580444,0.6586402058601379,predinet,1000,8
49,0.6591957807540894,0.6126062273979187,predinet,1000,9
50,0.6021181344985962,0.6508498787879944,predinet,1500,0
51,0.6483095288276672,0.6331444978713989,predinet,1500,1
52,0.6524080038070679,0.6288951635360718,predinet,1500,2
53,0.5863326787948608,0.701133131980896,predinet,1500,3
54,0.6724618077278137,0.6033994555473328,predinet,1500,4
55,0.582077145576477,0.6961756348609924,predinet,1500,5
56,0.6656519770622253,0.6126062273979187,predinet,1500,6
57,0.6484573483467102,0.6402266025543213,predinet,1500,7
58,0.6078653931617737,0.6607648730278015,predinet,1500,8
59,0.6463974714279175,0.6466005444526672,predinet,1500,9
60,0.6160732507705688,0.6848441958427429,predinet,2015,0
61,0.5786415338516235,0.7067988514900208,predinet,2015,1
62,0.5801679491996765,0.6862606406211853,predinet,2015,2
63,0.5940521359443665,0.6898016929626465,predinet,2015,3
64,0.5533151626586914,0.7096317410469055,predinet,2015,4
65,0.563746452331543,0.7110481858253479,predinet,2015,5
66,0.6015262603759766,0.669263482093811,predinet,2015,6
67,0.6006500124931335,0.6742209792137146,predinet,2015,7
68,0.5659106373786926,0.7004249095916748,predinet,2015,8
69,0.5589675903320312,0.7252124547958374,predinet,2015,9
0,0.7073744535446167,0.47946175932884216,corelnet,5,0
1,0.6923603415489197,0.5205382704734802,corelnet,5,1
2,0.7478205561637878,0.47946175932884216,corelnet,5,2
3,0.8003523349761963,0.47946175932884216,corelnet,5,3
4,0.6936687231063843,0.5205382704734802,corelnet,5,4
5,0.6960616111755371,0.5205382704734802,corelnet,5,5
6,0.7023904919624329,0.5205382704734802,corelnet,5,6
7,0.7057355046272278,0.47946175932884216,corelnet,5,7
8,0.7085098624229431,0.5205382704734802,corelnet,5,8
9,0.7087066769599915,0.5205382704734802,corelnet,5,9
10,0.7115052938461304,0.47946175932884216,corelnet,100,0
11,0.7073729634284973,0.47946175932884216,corelnet,100,1
12,0.6926901936531067,0.5212464332580566,corelnet,100,2
13,0.696496844291687,0.5205382704734802,corelnet,100,3
14,0.6934493184089661,0.522662878036499,corelnet,100,4
15,0.7416707873344421,0.47946175932884216,corelnet,100,5
16,0.6944220066070557,0.5205382704734802,corelnet,100,6
17,0.6930834054946899,0.5212464332580566,corelnet,100,7
